대분류,부처,부서,게시판,URL,Crawler 구분,wrap_tag,title_tag,time_tag,time_re,trim_str,url_flag,session
,부설연구기관,신학연구소,공지사항,http://theoinst.sogang.ac.kr/front/cmsboardlist.do?siteId=theoinst&bbsConfigFK=1187,1,,,,,,,
,부설연구기관,생명문화연구소,공지사항,http://lifecult.sogang.ac.kr/front/cmsboardlist.do?siteId=lifecult&bbsConfigFK=1326,1,,,,,,,
,부설연구기관,인문과학연구소,공지사항,https://human.sogang.ac.kr/modules/bbs/index.php?code=notice&___M_ID=116,12,"tr,None,None,2:","a,None,None,0","td,None,None,3",[0-9]{4}.[0-9]{2}.[0-9]{2},"<!------------------------------ 컨텐츠 ------------------------------>,</table>",FALSE,FALSE
,부설연구기관,인문과학연구소,최근소식,https://human.sogang.ac.kr/modules/bbs/index.php?code=news&___M_ID=117,12,,,,,,,
,부설연구기관,언어정보연구소,공지사항,http://linguistics.sogang.ac.kr/board01/list.asp,13,"tr,None,None,::2","a,None,None,0","td,None,None,4",[0-9]{4}.[0-9]{2}.[0-9]{2},"<!--공지부분 시작-->,</table>",TRUE,FALSE
,부설연구기관,언론문화연구소,공지사항,http://jci.sogang.ac.kr/front/cmsboardlist.do?siteId=jci&bbsConfigFK=2132,1,,,,,,,
,부설연구기관,동아연구소,공지사항,http://sieas.sogang.ac.kr/front/cmsboardlist.do?siteId=sieas&bbsConfigFK=3000,1,,,,,,,
,부설연구기관,사회과학연구소,공지사항,http://sgiss.com/korean/bbs_notice.php,,,,,,,,
,부설연구기관,법학연구소,공지사항,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=lawinst&bbsConfigFK=429,1,,,,,,,
,부설연구기관,양자시공간연구센터,Notice,http://cquest.sogang.ac.kr/modules/board/bd_list.html?id=forum_notice,,,,,,,,
,부설연구기관,양자시공간연구센터,Conference,http://cquest.sogang.ac.kr/modules/board/bd_list.html?id=forum_conference,,,,,,,,
,부설연구기관,양자시공간연구센터,Seminar,http://cquest.sogang.ac.kr/modules/board/bd_list.html?id=forum_seminar,,,,,,,,
,부설연구기관,양자시공간연구센터,External Event,http://cquest.sogang.ac.kr/modules/board/bd_list.html?id=forum_outside,,,,,,,,
,부설연구기관,바이오융합기술연구소,공지사항,http://ibrc-sogang.co.kr/?act=board&bbs_code=notice,,,,,,,,
,부설연구기관,*트랜스내셔널 인문학 연구소,공지사항,http://cgsi.ac/bbs/board.php?bo_table=kor_notice,,,,,,,,
,부설연구기관,C1 가스 리파이너리 연구소,공지사항,https://cgrc.sogang.ac.kr/index.php?mid=c1_notice,,,,,,,,
,부설연구기관,ICT 법경제연구소,공지사항,http://icle.sogang.ac.kr/board/1,,,,,,,,
,부설연구기관,지능형 블록체인 연구센터,공지사항,http://itrcblockchain.com/sub/sub08_01.php,,,,,,,,
,부설연구기관,혁신과경쟁연구센터,공지사항,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=cric&bbsConfigFK=431,1,,,,,,,
,부설연구기관,서강 인공지능 연구소,공지사항,https://sail.sogang.ac.kr/bbs/bbslist.do?forword=&wslID=sail&bbsid=2639,,,,,,,,
,국제처,국제팀,일반공지,http://goabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=goabroad&bbsConfigFK=1541,1,,,,,,,
,국제처,국제팀,국제팀 주관 프로그램 공지,http://goabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=goabroad&bbsConfigFK=721,1,,,,,,,
,국제처,국제팀,외부프로그램 공지,http://goabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=goabroad&bbsConfigFK=722,1,,,,,,,
,국제처,국제팀,국제학생,http://goabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=goabroad&bbsConfigFK=1542,1,,,,,,,
,국제처,국제팀,Notice(Eng),http://egoabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=egoabroad&bbsConfigFK=2487,1,,,,,,,
,국제처,국제팀,At Sogang,http://egoabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=egoabroad&bbsConfigFK=766,1,,,,,,,
,국제처,국제팀,Job Postings,http://egoabroad.sogang.ac.kr/front/cmsboardlist.do?siteId=egoabroad&bbsConfigFK=765,1,,,,,,,
,대외교류처,발전홍보팀,일반공지,http://sogang.ac.kr/front/boardlist.do?bbsConfigFK=1,2,,,,,,,
,대외교류처,발전홍보팀,행사특강,http://sogang.ac.kr/front/boardlist.do?bbsConfigFK=142,2,,,,,,,
